,means,stds,params,Model,Recall,F1_Score,Iteration,AUC
0,0.8686808156471078,0.0290037094452801,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 1000, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 12, 'n_estimators': 1000}",RandomForestClassifier,0.7690756302521009,0.8132339413936451,11,0.9192141300964832
0,0.8690511860174781,0.0318211901943379,"{'colsample_bytree': 0.9, 'gamma': 0.5, 'learning_rate': 0.01, 'max_depth': 9, 'min_child_weight': 6, 'n_estimators': 500, 'subsample': 0.7, 'use_label_encoder': False}",XGBClassifier,0.7515126050420168,0.8074361706970569,11,0.924661290778938
0,0.8634415314190594,0.0419481115253557,"{'C': 100, 'class_weight': None, 'penalty': 'l2', 'solver': 'newton-cg'}",Logistic_Regression,0.7953781512605042,0.8164047112964704,12,0.9064722010016126
0,0.8660507698709947,0.0328446669634137,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",SVC,0.745546218487395,0.8023751384303701,12,0.9068826358826358
0,0.806982937994174,0.0401795961882107,{'var_smoothing': 0.07906043210907697},GaussianNB,0.6521848739495799,0.7213798670971047,12,0.8628030727442493
0,0.8125384935497295,0.0498523271835393,"{'early_stopping': False, 'eta0': 0.0001, 'max_iter': 10, 'penalty': 'l2'}",Perceptron,0.8142016806722691,0.7262253617063492,12,0.8749664997312057
0,0.8671868497711195,0.0401929528935837,"{'C': 100, 'max_iter': 10000, 'penalty': 'l2'}",LinearSVC,0.7923529411764705,0.8169818193853244,12,0.9064168010638598
0,0.861947565543071,0.0419415508043408,"{'alpha': 0.01, 'learning_rate': 'optimal', 'loss': 'log', 'penalty': 'l1'}",SGDClassifier,0.8011764705882353,0.8109931262778518,12,0.8995316470022352
0,0.8724261339991677,0.030297934486531,"{'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 11, 'min_samples_split': 12, 'splitter': 'random'}",DecisionTreeClassifier,0.7426890756302521,0.8217138949574325,12,0.9093126786067962
0,0.8698085726175614,0.028896830967706,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 1000, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 500}",RandomForestClassifier,0.7690756302521009,0.8153074612091006,12,0.9175527827292532
0,0.8724094881398251,0.0326340416734504,"{'colsample_bytree': 0.5, 'gamma': 0.7, 'learning_rate': 0.1, 'max_depth': 9, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.9, 'use_label_encoder': False}",XGBClassifier,0.7778151260504201,0.8200361515281228,12,0.9182830829301418
0,0.8615730337078651,0.0387421612558907,"{'C': 100, 'class_weight': None, 'penalty': 'l2', 'solver': 'newton-cg'}",Logistic_Regression,0.8070588235294117,0.8209551471842955,13,0.9118391477803244
0,0.8649271743653768,0.0328057001763578,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",SVC,0.745546218487395,0.7987099800593294,13,0.9040978128625188
0,0.804735746982938,0.0379430980898935,{'var_smoothing': 0.07906043210907697},GaussianNB,0.6463025210084035,0.7171392963807797,13,0.8653607503607501
0,0.8136329588014981,0.046544320872982,"{'early_stopping': False, 'eta0': 0.0001, 'max_iter': 10, 'penalty': 'l1'}",Perceptron,0.8107563025210084,0.7302165061247374,13,0.8733973629855983
0,0.8668081564710779,0.038897838459683,"{'C': 10, 'max_iter': 1000, 'penalty': 'l2'}",LinearSVC,0.8041176470588235,0.8242101278903056,13,0.9130383668618964
